team,winter,summer,country,sport
Mackay and Whitsundays Magpies Crusaders United,10,10,Australia,Soccer
Maitland FC,11,10,Australia,Soccer
Manly United FC,11,10,Australia,Soccer
Marconi Stallions,11,10,Australia,Soccer
Melbourne City FC,11,10,Australia,Soccer
Melbourne City FC Women,11,10,Australia,Soccer
Melbourne Knights,11,10,Australia,Soccer
Melbourne Victory,11,10,Australia,Soccer
Melbourne Victory Women,11,10,Australia,Soccer
Mindil Aces FC,9.5,9.5,Australia,Soccer
Modbury Jets SC,10.5,9.5,Australia,Soccer
Monaro Panthers,11,10,Australia,Soccer
Moreland City,11,10,Australia,Soccer
Moreton Bay United FC,10,10,Australia,Soccer
Mt Druitt Town Rangers FC,11,10,Australia,Soccer
Mt Gravatt Hawks FC,10,10,Australia,Soccer
New Lambton,11,10,Australia,Soccer
Newcastle Jets,11,10,Australia,Soccer
Newcastle Jets Women,11,10,Australia,Soccer
Newcastle Olympic FC,11,10,Australia,Soccer
Newmarket SFC,10,10,Australia,Soccer
North Brisbane,10,10,Australia,Soccer
North Eastern MetroStars SC,10.5,9.5,Australia,Soccer
North Geelong Warriors,11,10,Australia,Soccer
North Pine,10,10,Australia,Soccer
Northbridge FC,11,10,Australia,Soccer
NWS Spirit,11,10,Australia,Soccer
Oakleigh Cannons FC,11,10,Australia,Soccer
OConnor Knights,11,10,Australia,Soccer
Olympia FC Warriors,11,10,Australia,Soccer
Olympic FC,10,10,Australia,Soccer
Olympic Kingsway,8,8,Australia,Soccer
Peninsula Power FC,10,10,Australia,Soccer
Perth Glory,8,8,Australia,Soccer
Perth Glory FC U21,8,8,Australia,Soccer
Perth Glory Women,8,8,Australia,Soccer
Perth RedStar,8,8,Australia,Soccer
Perth SC,8,8,Australia,Soccer
Pine Hills FC,10,10,Australia,Soccer
Port Darwin FC,9.5,9.5,Australia,Soccer
Port Melbourne SC,11,10,Australia,Soccer
Queensland Lions FC,10,10,Australia,Soccer
Redcliffe Dolphins,10,10,Australia,Soccer
Redlands United FC,10,10,Australia,Soccer
Riverside Olympic FC,11,10,Australia,Soccer
Rochedale Rovers,10,10,Australia,Soccer
Rockdale Ilinden FC,11,10,Australia,Soccer
Rockingham City FC,8,8,Australia,Soccer
Sorrento FC,8,8,Australia,Soccer
South Adelaide Panthers FC,10.5,9.5,Australia,Soccer
South Hobart FC,11,10,Australia,Soccer
South Melbourne FC,11,10,Australia,Soccer
St Albans Saints SC,11,10,Australia,Soccer
St George City FA,11,10,Australia,Soccer
St George Willawong FC,10,10,Australia,Soccer
Stirling,8,8,Australia,Soccer
Sturt Lions FC,10.5,9.5,Australia,Soccer
Sunshine Coast FC,10,10,Australia,Soccer
Sutherland Sharks FC,11,10,Australia,Soccer
Sydney FC,11,10,Australia,Soccer
Sydney FC U21,11,10,Australia,Soccer
Sydney FC Women,11,10,Australia,Soccer
Sydney Olympic FC,11,10,Australia,Soccer
Sydney United,11,10,Australia,Soccer
The Gap FC,10,10,Australia,Soccer
The Lakes FC,10,10,Australia,Soccer
Toowong FC,10,10,Australia,Soccer
Tuggeranong United,11,10,Australia,Soccer
University Azzurri FC,9.5,9.5,Australia,Soccer
University of Queensland FC,10,10,Australia,Soccer
Valentine Phoenix FC,11,10,Australia,Soccer
Virginia United,10,10,Australia,Soccer
Wellington Phoenix Women,11,10,Australia,Soccer
West Adelaide,10.5,9.5,Australia,Soccer
West Torrens Birkalla,10.5,9.5,Australia,Soccer
Western Spirit FC,10,10,Australia,Soccer
Western Sydney Wanderers FC,11,10,Australia,Soccer
Western Sydney Wanderers FC Women,11,10,Australia,Soccer
Western United FC,11,10,Australia,Soccer
Western United FC Women,11,10,Australia,Soccer
Weston Bears FC,11,10,Australia,Soccer
White City Woodville,10.5,9.5,Australia,Soccer
Woden Valley,11,10,Australia,Soccer
Wollongong Wolves,11,10,Australia,Soccer
4 de Julho,-3,-3,Brazil,Soccer
ABC Futebol Clube,-3,-3,Brazil,Soccer
Ação,-4,-4,Brazil,Soccer
Afogados,-3,-3,Brazil,Soccer
Águia de Marabá PA,-3,-3,Brazil,Soccer
Águia Negra,-4,-4,Brazil,Soccer
Aimoré,-3,-3,Brazil,Soccer
Altos,-3,-3,Brazil,Soccer
Amazonas,-4,-4,Brazil,Soccer
America MG,-3,-3,Brazil,Soccer
America RN,-3,-3,Brazil,Soccer
Anápolis,-3,-3,Brazil,Soccer
AO Itabaiana,-3,-3,Brazil,Soccer
Aparecidense,-3,-3,Brazil,Soccer
Aquidauanense,-4,-4,Brazil,Soccer
ASA de Arapiraca,-3,-3,Brazil,Soccer
Athletic Club MG,-3,-3,Brazil,Soccer
Atlético Acreano,-5,-5,Brazil,Soccer
Atlético de Alagoinhas,-3,-3,Brazil,Soccer
Atletico GO,-3,-3,Brazil,Soccer
Atletico MG,-3,-3,Brazil,Soccer
Atlético Mineiro Women,-3,-3,Brazil,Soccer
Atletico PR,-3,-3,Brazil,Soccer
Avai FC,-3,-3,Brazil,Soccer
Azuriz,-3,-3,Brazil,Soccer
Bahia,-3,-3,Brazil,Soccer
Bahia de Feira,-3,-3,Brazil,Soccer
Bahia Women,-3,-3,Brazil,Soccer
Bangu,-3,-3,Brazil,Soccer
Boa Esporte Clube,-3,-3,Brazil,Soccer
Boavista SC,-3,-3,Brazil,Soccer
Botafogo PB,-3,-3,Brazil,Soccer
Botafogo RJ,-3,-3,Brazil,Soccer
Botafogo SP,-3,-3,Brazil,Soccer
Botafogo Women,-3,-3,Brazil,Soccer
Bragantino,-3,-3,Brazil,Soccer
Brasil de Pelotas,-3,-3,Brazil,Soccer
Brasiliense,-3,-3,Brazil,Soccer
Brazil,-3,-3,Brazil,Soccer
Brusque,-3,-3,Brazil,Soccer
Caldense,-3,-3,Brazil,Soccer
Camboriú SC,-3,-3,Brazil,Soccer
Campinense,-3,-3,Brazil,Soccer
Castanhal,-3,-3,Brazil,Soccer
Caucaia,-3,-3,Brazil,Soccer
Caxias,-3,-3,Brazil,Soccer
Ceara,-3,-3,Brazil,Soccer
Ceilândia,-3,-3,Brazil,Soccer
Central Sport Club,-3,-3,Brazil,Soccer
CEOV Operário,-4,-4,Brazil,Soccer
Chapecoense AF,-3,-3,Brazil,Soccer
Cianorte,-3,-3,Brazil,Soccer
Concórdia SC,-3,-3,Brazil,Soccer
Confiança,-3,-3,Brazil,Soccer
Cordino MA,-3,-3,Brazil,Soccer
Corinthians,-3,-3,Brazil,Soccer
Corinthians Women,-3,-3,Brazil,Soccer
Coritiba,-3,-3,Brazil,Soccer
Costa Rica Esporte Clube,-4,-4,Brazil,Soccer
CRAC,-3,-3,Brazil,Soccer
Crato,-3,-3,Brazil,Soccer
CRB,-3,-3,Brazil,Soccer
CRESSPOM,-3,-3,Brazil,Soccer
Criciuma,-3,-3,Brazil,Soccer
Cruzeiro,-3,-3,Brazil,Soccer
Cruzeiro de Arapiraca,-3,-3,Brazil,Soccer
Cruzeiro Women,-3,-3,Brazil,Soccer
CS Alagoano,-3,-3,Brazil,Soccer
CSE,-3,-3,Brazil,Soccer
Cuiaba,-4,-4,Brazil,Soccer
Democrata GV MG,-3,-3,Brazil,Soccer
ESMAC,-3,-3,Brazil,Soccer
Esportivo de Bento Gonçalves,-3,-3,Brazil,Soccer
Falcon SE,-3,-3,Brazil,Soccer
FC Atlético Cearense,-3,-3,Brazil,Soccer
FC Cascavel,-3,-3,Brazil,Soccer
Ferroviária,-3,-3,Brazil,Soccer
Ferroviaria Women,-3,-3,Brazil,Soccer
Ferroviario,-3,-3,Brazil,Soccer
Figueirense,-3,-3,Brazil,Soccer
Flamengo,-3,-3,Brazil,Soccer
Flamengo Women,-3,-3,Brazil,Soccer
Floresta,-3,-3,Brazil,Soccer
Fluminense,-3,-3,Brazil,Soccer
Fluminense PI,-3,-3,Brazil,Soccer
Fortaleza,-3,-3,Brazil,Soccer
Galvez,-5,-5,Brazil,Soccer
Gama,-3,-3,Brazil,Soccer
GAS,-4,-4,Brazil,Soccer
Globo,-3,-3,Brazil,Soccer
Goianésia,-3,-3,Brazil,Soccer
Goias,-3,-3,Brazil,Soccer
Gremio,-3,-3,Brazil,Soccer
Grêmio Anápolis,-3,-3,Brazil,Soccer
Gremio Women,-3,-3,Brazil,Soccer
Guarani,-3,-3,Brazil,Soccer
Guarany de Sobral,-3,-3,Brazil,Soccer
Hercílio Luz,-3,-3,Brazil,Soccer
Humaitá,-5,-5,Brazil,Soccer
Icasa,-3,-3,Brazil,Soccer
IF São Joseense,-3,-3,Brazil,Soccer
Iguatu CE,-3,-3,Brazil,Soccer
Imperatriz,-3,-3,Brazil,Soccer
Inter de Limeira,-3,-3,Brazil,Soccer
Internacional,-3,-3,Brazil,Soccer
Internacional RS Women,-3,-3,Brazil,Soccer
Interporto,-3,-3,Brazil,Soccer
Iporá,-3,-3,Brazil,Soccer
Ituano,-3,-3,Brazil,Soccer
Jacuipense,-3,-3,Brazil,Soccer
Jaraguá,-3,-3,Brazil,Soccer
Joinville,-3,-3,Brazil,Soccer
Juazeirense,-3,-3,Brazil,Soccer
Juventude,-3,-3,Brazil,Soccer
Juventude-MA,-3,-3,Brazil,Soccer
Juventus-SC,-3,-3,Brazil,Soccer
Kindermann Women,-3,-3,Brazil,Soccer
Lagarto,-3,-3,Brazil,Soccer
Londrina EC,-3,-3,Brazil,Soccer
Madureira,-3,-3,Brazil,Soccer
Manaus FC,-4,-4,Brazil,Soccer
Maranhão,-3,-3,Brazil,Soccer
Marcílio Dias,-3,-3,Brazil,Soccer
Marília Atlético Clube,-3,-3,Brazil,Soccer
Maringá PR,-3,-3,Brazil,Soccer
Minas ICESP Women,-3,-3,Brazil,Soccer
Mirassol,-3,-3,Brazil,Soccer
Moto Club,-3,-3,Brazil,Soccer
Murici FC,-3,-3,Brazil,Soccer
Nacional AM,-4,-4,Brazil,Soccer
Nacional de Patos,-3,-3,Brazil,Soccer
Nacional Fast Clube,-4,-4,Brazil,Soccer
Nautico,-3,-3,Brazil,Soccer
Náutico RR,-4,-4,Brazil,Soccer
Nova Iguaçu,-3,-3,Brazil,Soccer
Nova Mutum,-4,-4,Brazil,Soccer
Nova Venécia,-3,-3,Brazil,Soccer
Novo Hamburgo,-3,-3,Brazil,Soccer
Novorizontino,-3,-3,Brazil,Soccer
Oeste FC,-3,-3,Brazil,Soccer
Operario Ferroviario,-3,-3,Brazil,Soccer
Operário MS,-4,-4,Brazil,Soccer
Pacajus,-3,-3,Brazil,Soccer
Palermo,-3,-3,Brazil,Soccer
Palmas Futebol e Regatas,-3,-3,Brazil,Soccer
Palmeiras,-3,-3,Brazil,Soccer
Palmeiras Women,-3,-3,Brazil,Soccer
Paragominas,-3,-3,Brazil,Soccer
Parana Clube,-3,-3,Brazil,Soccer
Parnahyba PI,-3,-3,Brazil,Soccer
Patrocinense,-3,-3,Brazil,Soccer
Paysandu,-3,-3,Brazil,Soccer
Penarol Atlético Clube,-4,-4,Brazil,Soccer
Pérolas Negras,-3,-3,Brazil,Soccer
Picos,-3,-3,Brazil,Soccer
Ponte Preta,-3,-3,Brazil,Soccer
Porto Velho,-4,-4,Brazil,Soccer
Portuguesa,-3,-3,Brazil,Soccer
Portuguesa RJ,-3,-3,Brazil,Soccer
Pouso Alegre,-3,-3,Brazil,Soccer
Princesa do Solimões AM,-4,-4,Brazil,Soccer
Próspera Criciuma,-3,-3,Brazil,Soccer
RB Bragantino Women,-3,-3,Brazil,Soccer
Real Ariquemes,-4,-4,Brazil,Soccer
Real Brasília Women,-3,-3,Brazil,Soccer
Real Noroeste,-3,-3,Brazil,Soccer
Remo,-3,-3,Brazil,Soccer
Resende RJ,-3,-3,Brazil,Soccer
Retrô,-3,-3,Brazil,Soccer
Rio Branco AC,-3,-3,Brazil,Soccer
Rio Branco do Paraná,-3,-3,Brazil,Soccer
Rio Branco FC,-5,-5,Brazil,Soccer
Rio Branco-VN,-3,-3,Brazil,Soccer
Salgueiro,-3,-3,Brazil,Soccer
Sampaio Correa,-3,-3,Brazil,Soccer
Santa Cruz,-3,-3,Brazil,Soccer
Santana,-3,-3,Brazil,Soccer
Santo André,-3,-3,Brazil,Soccer
Santos FC,-3,-3,Brazil,Soccer
Santos Women,-3,-3,Brazil,Soccer
Sao Bento,-3,-3,Brazil,Soccer
São Bernardo,-3,-3,Brazil,Soccer
São Francisco AC,-5,-5,Brazil,Soccer
São José,-3,-3,Brazil,Soccer
Sao Jose Women,-3,-3,Brazil,Soccer
São Luiz,-3,-3,Brazil,Soccer
Sao Paulo,-3,-3,Brazil,Soccer
São Paulo Crystal,-3,-3,Brazil,Soccer
São Paulo Women,-3,-3,Brazil,Soccer
São Raimundo,-4,-4,Brazil,Soccer
São Raimundo AM,-4,-4,Brazil,Soccer
Sergipe,-3,-3,Brazil,Soccer
Sousa,-3,-3,Brazil,Soccer
Sport Club do Recife,-3,-3,Brazil,Soccer
Tocantinópolis,-3,-3,Brazil,Soccer
Tombense,-3,-3,Brazil,Soccer
Trem,-3,-3,Brazil,Soccer
Treze,-3,-3,Brazil,Soccer
Tuna Luso,-3,-3,Brazil,Soccer
Tuntum,-3,-3,Brazil,Soccer
Uberlândia,-3,-3,Brazil,Soccer
União de Rondonópolis,-4,-4,Brazil,Soccer
Uniao Trabalhadores,-3,-3,Brazil,Soccer
Vasco da Gama,-3,-3,Brazil,Soccer
Vila Nova,-3,-3,Brazil,Soccer
Vitoria,-3,-3,Brazil,Soccer
Vitória ES,-3,-3,Brazil,Soccer
Volta Redonda,-3,-3,Brazil,Soccer
XV de Novembro,-3,-3,Brazil,Soccer
Ypiranga,-3,-3,Brazil,Soccer
Ypiranga Clube,-3,-3,Brazil,Soccer
Atlético Ottawa,-5,-4,Canada,Soccer
Canada,-5,-4,Canada,Soccer
Cavalry,-7,-6,Canada,Soccer
CF Montréal,-5,-4,Canada,Soccer
FC Edmonton,-7,-6,Canada,Soccer
FC Manitoba,-6,-5,Canada,Soccer
Forge FC,-5,-4,Canada,Soccer
HFX Wanderers,-4,-3,Canada,Soccer
Montreal Impact,-5,-4,Canada,Soccer
Pacific FC,-8,-7,Canada,Soccer
Toronto FC,-5,-4,Canada,Soccer
Toronto FC II,-5,-4,Canada,Soccer
Valour,-6,-5,Canada,Soccer
Vancouver FC,-8,-7,Canada,Soccer
Vancouver Whitecaps,-8,-7,Canada,Soccer
Whitecaps FC 2,-8,-7,Canada,Soccer
York9,-5,-4,Canada,Soccer
AC Rangers,1,1,Congo-DR,Soccer
Blessing Lualaba,2,2,Congo-DR,Soccer
Congo-DR,1,1,Congo-DR,Soccer
Dauphins Noirs,2,2,Congo-DR,Soccer
DCMP Imana,1,1,Congo-DR,Soccer
Don Bosco,2,2,Congo-DR,Soccer
Groupe Bazano,2,2,Congo-DR,Soccer
JS Kinshasa,1,1,Congo-DR,Soccer
Lubumbashi Sport,2,2,Congo-DR,Soccer
Maniema Union,2,2,Congo-DR,Soccer
RC Kinshasa,1,1,Congo-DR,Soccer
Renaissance du Congo,1,1,Congo-DR,Soccer
Saint-Éloi Lupopo,2,2,Congo-DR,Soccer
Sanga Balende,2,2,Congo-DR,Soccer
Simba Kolwezi,2,2,Congo-DR,Soccer
TP Mazembe,2,2,Congo-DR,Soccer
Vita Club,1,1,Congo-DR,Soccer
Arema FC,7,7,Indonesia,Soccer
Bali United,8,8,Indonesia,Soccer
Bhayangkara FC,7,7,Indonesia,Soccer
Borneo FC,7,7,Indonesia,Soccer
Dewa United,7,7,Indonesia,Soccer
Indonesia,7,7,Indonesia,Soccer
Madura United,7,7,Indonesia,Soccer
Persebaya,7,7,Indonesia,Soccer
Persela,7,7,Indonesia,Soccer
Persib,7,7,Indonesia,Soccer
Persija,7,7,Indonesia,Soccer
Persik Kediri,7,7,Indonesia,Soccer
Persikabo 1973,7,7,Indonesia,Soccer
Persipura,8,8,Indonesia,Soccer
Persiraja,7,7,Indonesia,Soccer
Persis Solo,7,7,Indonesia,Soccer
Persita,7,7,Indonesia,Soccer
PS Barito Putera,7,7,Indonesia,Soccer
PSIS Semarang,7,7,Indonesia,Soccer
PSM Makassar,8,8,Indonesia,Soccer
PSS Sleman,7,7,Indonesia,Soccer
RANS Nusantara,7,7,Indonesia,Soccer
Aktobe,5,5,Kazakhstan,Soccer
Akzhayik,5,5,Kazakhstan,Soccer
Atyrau,5,5,Kazakhstan,Soccer
Caspiy Aktau,5,5,Kazakhstan,Soccer
FC Astana,6,6,Kazakhstan,Soccer
FC Taraz,6,6,Kazakhstan,Soccer
FC Tobol,6,6,Kazakhstan,Soccer
FK Aksu,6,6,Kazakhstan,Soccer
FK Maktaaral,6,6,Kazakhstan,Soccer
Jetysu Taldykorgan,6,6,Kazakhstan,Soccer
Kairat Almaty,6,6,Kazakhstan,Soccer
Kaisar Kyzylorda,5,5,Kazakhstan,Soccer
Kazakhstan,6,6,Kazakhstan,Soccer
Kyzylzhar SK,6,6,Kazakhstan,Soccer
Okzhetpes,6,6,Kazakhstan,Soccer
Ordabasy Shymkent,6,6,Kazakhstan,Soccer
Shakhter Karaganda,6,6,Kazakhstan,Soccer
Turan,6,6,Kazakhstan,Soccer
Alacranes de Durango,-6,-5,Mexico,Soccer
Alebrijes de Oaxaca,-6,-5,Mexico,Soccer
Atlante,-6,-5,Mexico,Soccer
Atlas,-6,-5,Mexico,Soccer
Atlas FC Femenil,-6,-5,Mexico,Soccer
Atletico de San Luis,-6,-5,Mexico,Soccer
Atlético de San Luis Femenil,-6,-5,Mexico,Soccer
Atlético La Paz,-8,-7,Mexico,Soccer
C.D. Guadalajara Femenil,-6,-5,Mexico,Soccer
C.F. Monterrey Femenil,-6,-5,Mexico,Soccer
C.F. Pachuca Femenil,-6,-5,Mexico,Soccer
Cancún,-5,-5,Mexico,Soccer
CD Guadalajara,-6,-5,Mexico,Soccer
Celaya,-6,-5,Mexico,Soccer
CF America,-6,-5,Mexico,Soccer
Cimarrones de Sonora,-7,-7,Mexico,Soccer
Club América Femenil,-6,-5,Mexico,Soccer
Club León Femenil,-6,-5,Mexico,Soccer
Club Necaxa Femenil,-6,-5,Mexico,Soccer
Club Santos Laguna Femenil,-6,-5,Mexico,Soccer
Club Tijuana Femenil,-8,-7,Mexico,Soccer
Club Universidad Nacional Femenil,-6,-5,Mexico,Soccer
Correcaminos UAT,-6,-5,Mexico,Soccer
Cruz Azul,-6,-5,Mexico,Soccer
Cruz Azul Femenil,-6,-5,Mexico,Soccer
Deportivo Toluca F.C. Femenil,-6,-5,Mexico,Soccer
Dorados,-7,-6,Mexico,Soccer
FC Juarez,-7,-6,Mexico,Soccer
FC Juárez Femenil,-7,-6,Mexico,Soccer
Leon,-6,-5,Mexico,Soccer
Leones Negros UDG,-6,-5,Mexico,Soccer
Mazatlán,-7,-6,Mexico,Soccer
Mazatlán FC Femenil,-7,-6,Mexico,Soccer
Mexico,-6,-5,Mexico,Soccer
Mineros de Zacatecas,-6,-5,Mexico,Soccer
Monterrey,-6,-5,Mexico,Soccer
Morelia,-6,-5,Mexico,Soccer
Necaxa,-6,-5,Mexico,Soccer
Pachuca,-6,-5,Mexico,Soccer
Puebla,-6,-5,Mexico,Soccer
Puebla Femenil,-6,-5,Mexico,Soccer
Pumas,-6,-5,Mexico,Soccer
Pumas Tabasco,-6,-5,Mexico,Soccer
Queretaro FC,-6,-5,Mexico,Soccer
Querétaro FC Femenil,-6,-5,Mexico,Soccer
Raya2,-6,-5,Mexico,Soccer
Santos,-6,-5,Mexico,Soccer
Tampico Madero,-6,-5,Mexico,Soccer
Tapatío,-6,-5,Mexico,Soccer
Tepatitlán FC,-6,-5,Mexico,Soccer
Tigres,-6,-5,Mexico,Soccer
Tigres UANL Femenil,-6,-5,Mexico,Soccer
Tijuana,-8,-7,Mexico,Soccer
Tlaxcala,-6,-5,Mexico,Soccer
Toluca,-6,-5,Mexico,Soccer
Venados,-6,-5,Mexico,Soccer
Academico Viseu,0,1,Portugal,Soccer
Arouca,0,1,Portugal,Soccer
Associação Académica de Coimbra,0,1,Portugal,Soccer
Belenenses,0,1,Portugal,Soccer
Benfica,0,1,Portugal,Soccer
Benfica B,0,1,Portugal,Soccer
Boavista,0,1,Portugal,Soccer
Braga,0,1,Portugal,Soccer
Casa Pia,0,1,Portugal,Soccer
CD Nacional de Madeira,0,1,Portugal,Soccer
Chaves,0,1,Portugal,Soccer
Covilha,0,1,Portugal,Soccer
Estoril-Praia,0,1,Portugal,Soccer
Estrela Amadora,0,1,Portugal,Soccer
F.C. Paços de Ferreira,0,1,Portugal,Soccer
Famalicao,0,1,Portugal,Soccer
FC Porto,0,1,Portugal,Soccer
FC Porto B,0,1,Portugal,Soccer
Feirense,0,1,Portugal,Soccer
Gil Vicente,0,1,Portugal,Soccer
Guimaraes,0,1,Portugal,Soccer
Leixoes,0,1,Portugal,Soccer
Mafra,0,1,Portugal,Soccer
Maritimo,0,1,Portugal,Soccer
Moreirense,0,1,Portugal,Soccer
Penafiel,0,1,Portugal,Soccer
Portimonense,0,1,Portugal,Soccer
Portugal,0,1,Portugal,Soccer
Rio Ave,0,1,Portugal,Soccer
Santa Clara,-1,0,Portugal,Soccer
SC Farense,0,1,Portugal,Soccer
Sporting CP,0,1,Portugal,Soccer
Tondela,0,1,Portugal,Soccer
Trofense,0,1,Portugal,Soccer
Varzim,0,1,Portugal,Soccer
Vilafranquense,0,1,Portugal,Soccer
Vizela,0,1,Portugal,Soccer
2Drots,3,3,Russia,Soccer
Akron Tolyatti,4,4,Russia,Soccer
Akron Tolyatti-2,4,4,Russia,Soccer
Alania Vladikavkaz,3,3,Russia,Soccer
Alaniya Vladikavkaz II,3,3,Russia,Soccer
Amkal,3,3,Russia,Soccer
Amkar,5,5,Russia,Soccer
Armavir FK,3,3,Russia,Soccer
Arsenal Tula,3,3,Russia,Soccer
Arsenal Tula II,3,3,Russia,Soccer
Avangard Kursk,3,3,Russia,Soccer
Balashikha,3,3,Russia,Soccer
Baltika BFU,2,2,Russia,Soccer
Baltika Kaliningrad,2,2,Russia,Soccer
Chayka Peschanokopskoye,3,3,Russia,Soccer
Chertanovo Moscow,3,3,Russia,Soccer
Dinamo Kirov,3,3,Russia,Soccer
Dinamo Moscow,3,3,Russia,Soccer
Dinamo Moskva II,3,3,Russia,Soccer
Dinamo St. Petersburg,3,3,Russia,Soccer
Dinamo Vologda,3,3,Russia,Soccer
Dynamo Bryansk,3,3,Russia,Soccer
Elektron VN,3,3,Russia,Soccer
Fakel Voronezh,3,3,Russia,Soccer
FC Anzhi Makhachkala,3,3,Russia,Soccer
FC Biolog-Novokubansk,3,3,Russia,Soccer
FC Chelyabinsk,5,5,Russia,Soccer
FC Chernomorets Novorossiysk,3,3,Russia,Soccer
FC Druzhba Maykop,3,3,Russia,Soccer
FC Dynamo Barnaul,6,6,Russia,Soccer
FC Forte Taganrog,3,3,Russia,Soccer
FC Kaluga,3,3,Russia,Soccer
FC Khimik Dzerzhinsk,3,3,Russia,Soccer
FC Kolomna,3,3,Russia,Soccer
FC Krasnodar,3,3,Russia,Soccer
FC Krasnodar-2,3,3,Russia,Soccer
FC Kuban-Holding Pavlovskaya,3,3,Russia,Soccer
FC Kvant Obninsk,3,3,Russia,Soccer
FC Legion Dynamo Makhachkala,3,3,Russia,Soccer
FC Leningradets Leningrad Oblast,3,3,Russia,Soccer
FC Luch Vladivostok,10,10,Russia,Soccer
FC Luki-Energiya Velikiye Luki,3,3,Russia,Soccer
